vqmod_boot:0.0359 startup:0.0630 framework(dispatch+render):1.2274 total:1.3263
vqmod_boot:0.0326 startup:0.0593 framework(dispatch+render):1.1545 total:1.2464
vqmod_boot:0.0462 startup:0.1118 framework(dispatch+render):2.6486 total:2.8065
vqmod_boot:0.0409 startup:0.0939 framework(dispatch+render):1.6695 total:1.8043
vqmod_boot:0.0396 startup:0.0890 framework(dispatch+render):1.6719 total:1.8005
vqmod_boot:0.0356 startup:0.1156 framework(dispatch+render):1.6286 total:1.7798
vqmod_boot:0.0425 startup:0.0982 framework(dispatch+render):1.7519 total:1.8926
vqmod_boot:0.0571 startup:0.4498 framework(dispatch+render):2.6790 total:3.1858
vqmod_boot:0.0449 startup:0.0877 framework(dispatch+render):0.4074 total:0.5400
vqmod_boot:0.0468 startup:0.0756 framework(dispatch+render):0.4357 total:0.5581
vqmod_boot:0.0418 startup:0.0760 framework(dispatch+render):0.3968 total:0.5145
vqmod_boot:0.0453 startup:0.1097 framework(dispatch+render):0.4277 total:0.5826
vqmod_boot:0.0428 startup:0.3793 framework(dispatch+render):0.4782 total:0.9003
vqmod_boot:0.0313 startup:0.0594 framework(dispatch+render):0.3253 total:0.4160
vqmod_boot:0.0345 startup:0.0586 framework(dispatch+render):0.2843 total:0.3774
vqmod_boot:0.0323 startup:0.0658 framework(dispatch+render):0.3342 total:0.4323
vqmod_boot:0.0255 startup:0.3433 framework(dispatch+render):2.4066 total:2.7754
vqmod_boot:0.0332 startup:0.0400 framework(dispatch+render):1.6154 total:1.6887
vqmod_boot:0.0341 startup:0.0488 framework(dispatch+render):1.2630 total:1.3459
vqmod_boot:0.0451 startup:0.0679 framework(dispatch+render):1.5358 total:1.6488
vqmod_boot:0.0322 startup:0.0584 framework(dispatch+render):1.0075 total:1.0981
vqmod_boot:0.0608 startup:0.3120 framework(dispatch+render):2.1341 total:2.5068
vqmod_boot:0.0340 startup:0.0793 framework(dispatch+render):1.3907 total:1.5041
vqmod_boot:0.0353 startup:0.0457 framework(dispatch+render):0.9884 total:1.0694
vqmod_boot:0.0352 startup:0.0794 framework(dispatch+render):0.9818 total:1.0964
vqmod_boot:0.0376 startup:0.0315 framework(dispatch+render):1.0482 total:1.1172
vqmod_boot:0.0305 startup:0.0667 framework(dispatch+render):1.0452 total:1.1423
vqmod_boot:0.0497 startup:0.0416 framework(dispatch+render):4.0182 total:4.1095
vqmod_boot:0.0400 startup:0.0733 framework(dispatch+render):1.7405 total:1.8538
vqmod_boot:0.0328 startup:0.0469 framework(dispatch+render):1.1602 total:1.2398
vqmod_boot:0.0559 startup:0.3338 framework(dispatch+render):2.5344 total:2.9241
vqmod_boot:0.0199 startup:0.0883 framework(dispatch+render):2.0851 total:2.1933
vqmod_boot:0.0303 startup:0.0510 framework(dispatch+render):1.2369 total:1.3182
vqmod_boot:0.0364 startup:0.0667 framework(dispatch+render):1.4530 total:1.5561
vqmod_boot:0.0389 startup:0.0439 framework(dispatch+render):1.5558 total:1.6385
vqmod_boot:0.0142 startup:0.0279 framework(dispatch+render):1.1405 total:1.1827
vqmod_boot:0.0160 startup:0.0328 framework(dispatch+render):1.1070 total:1.1558
vqmod_boot:0.0569 startup:0.3804 framework(dispatch+render):2.5469 total:2.9841
vqmod_boot:0.0438 startup:0.4071 framework(dispatch+render):2.1619 total:2.6128
vqmod_boot:0.1071 startup:0.4439 framework(dispatch+render):8.3950 total:8.9460
vqmod_boot:0.0284 startup:0.0726 framework(dispatch+render):1.6402 total:1.7411
vqmod_boot:0.0477 startup:0.0611 framework(dispatch+render):1.2537 total:1.3626
vqmod_boot:0.0571 startup:0.0822 framework(dispatch+render):3.4338 total:3.5730
vqmod_boot:0.0335 startup:0.1352 framework(dispatch+render):1.7319 total:1.9006
vqmod_boot:0.0347 startup:0.0967 framework(dispatch+render):1.2743 total:1.4057
vqmod_boot:0.0529 startup:0.0808 framework(dispatch+render):7.4853 total:7.6190
vqmod_boot:0.0743 startup:0.4894 framework(dispatch+render):3.4526 total:4.0164
vqmod_boot:0.0536 startup:0.0449 framework(dispatch+render):1.2787 total:1.3772
vqmod_boot:0.0510 startup:0.0847 framework(dispatch+render):1.7465 total:1.8823
vqmod_boot:0.0375 startup:0.0754 framework(dispatch+render):1.6368 total:1.7496
vqmod_boot:0.0450 startup:0.0890 framework(dispatch+render):1.5379 total:1.6719
vqmod_boot:0.0712 startup:0.1205 framework(dispatch+render):2.6595 total:2.8511
vqmod_boot:0.0617 startup:0.1277 framework(dispatch+render):2.6744 total:2.8639
vqmod_boot:0.0761 startup:0.4694 framework(dispatch+render):3.7490 total:4.2944
vqmod_boot:0.0395 startup:0.0702 framework(dispatch+render):1.7946 total:1.9042
vqmod_boot:0.0544 startup:0.4512 framework(dispatch+render):2.3544 total:2.8600
vqmod_boot:0.0742 startup:0.4998 framework(dispatch+render):6.6780 total:7.2520
vqmod_boot:0.0555 startup:0.0685 framework(dispatch+render):1.5563 total:1.6804
vqmod_boot:0.0697 startup:0.1311 framework(dispatch+render):2.8357 total:3.0364
vqmod_boot:0.0649 startup:0.4724 framework(dispatch+render):3.0012 total:3.5385
vqmod_boot:0.0585 startup:0.4854 framework(dispatch+render):3.7377 total:4.2816
vqmod_boot:0.2454 startup:2.4553 framework(dispatch+render):9.6889 total:12.3896
vqmod_boot:0.0693 startup:0.2607 framework(dispatch+render):3.7969 total:4.1268
vqmod_boot:0.0548 startup:0.1124 framework(dispatch+render):1.2034 total:1.3706
vqmod_boot:0.0475 startup:0.3193 framework(dispatch+render):1.9224 total:2.2892
vqmod_boot:0.0508 startup:0.3013 framework(dispatch+render):1.4241 total:1.7762
vqmod_boot:0.0414 startup:0.2150 framework(dispatch+render):1.7409 total:1.9973
vqmod_boot:0.0550 startup:0.0675 framework(dispatch+render):0.7823 total:0.9049
vqmod_boot:0.0413 startup:0.2000 framework(dispatch+render):3.2540 total:3.4953
vqmod_boot:0.0619 startup:0.4279 framework(dispatch+render):2.3425 total:2.8323
vqmod_boot:0.0352 startup:0.0849 framework(dispatch+render):1.4011 total:1.5212
vqmod_boot:0.0318 startup:0.1928 framework(dispatch+render):1.7558 total:1.9803
vqmod_boot:0.0488 startup:0.0879 framework(dispatch+render):3.6449 total:3.7817
vqmod_boot:0.0434 startup:0.0728 framework(dispatch+render):1.2261 total:1.3424
vqmod_boot:0.0405 startup:0.0456 framework(dispatch+render):1.5713 total:1.6574
